"critic_author","alpha_mean","bias_mean"
"Joe Morgenstern",3.239095630359,0.516677322302014
"Justin Chang",2.48052621511777,-4.47327567436619
"Ann Hornaday",2.38559795902228,4.68824973165147
"Stephen Holden",2.34950978439635,-4.41052642132714
"Jeannette Catsoulis",2.31659667414284,-3.84223942601193
"Kenneth Turan",2.21578318093814,0.614440353228029
"Peter Travers",2.15135982996394,-4.9695202399752
"Manohla Dargis",2.13433053096876,-5.29867336164171
"A.O. Scott",2.10250038761105,-1.05637395180152
"Steve Macfarlane",1.95946862134782,-0.471383660543799
"Lou Lumenick",1.90794296230397,-9.29453742832226
"Jen Chaney",1.90329684015967,1.27906105825806
"Scott Tobias",1.89337874707642,-0.117855859104175
"Andrew O'Hehir",1.86267993408587,-1.33144741211958
"Kimberley Jones",1.83229513392372,-2.20168197601573
"Geoff Berkshire",1.83144612003105,-3.43215518048413
"Marc Savlov",1.82823893383797,-3.8027786493485
"Brian Tallerico",1.81284918399793,0.591164544613915
"Nathan Rabin",1.80741050288707,-10.4846909548188
"Bilge Ebiri",1.80536204763673,-3.77655461309397
"Jonathan Kiefer",1.79683918443851,2.04406011566228
"David Rooney",1.76291535716083,-2.3446189169929
"Dana Stevens",1.72944941607919,7.0506950635495
"Ty Burr",1.70733871787947,-1.09413805749148
"David Edelstein",1.69839262996183,7.00219759584773
"Joshua Rothkopf",1.69722948706108,2.63471549658933
"Oliver Lyttelton",1.6959337814035,-2.73404302362024
"Kiva Reardon",1.67799522682296,-5.54854949045117
"Daniel Green",1.65355484453149,-2.23213523582021
"Bob Mondello",1.64065817169772,6.95297078152556
"Sam Weisberg",1.63961971666885,0.871716888835539
"Drew McWeeny",1.63821518061644,-7.1788235421689
"Scott Foundas",1.63795923676546,0.219053175277581
"Dennis Harvey",1.61057455340627,-2.935061108041
"Inkoo Kang",1.60413455194295,-6.29598134868717
"Robert Abele",1.60223687257184,-4.07107153994278
"Andrew Barker",1.5943737237643,-4.69991125913581
"Nicolas Rapold",1.58355991798318,-2.11886228484914
"Maggie Wrobel",1.57377597846477,3.0174468836538
"Alan Scherstuhl",1.56566146448269,0.381224554006707
"Richard Roeper",1.55303083551692,-7.78806168648702
"Chuck Bowen",1.5528082705471,-2.46999332794845
"Godfrey Cheshire",1.53627674890077,-4.05590063237938
"Diego Semerene",1.53275256357091,1.28802464545725
"Tomas Hachard",1.53232499532026,-3.51353451688123
"Charlie Schmidlin",1.53073819348427,-2.08251257402648
"Noel Murray",1.49430076286653,0.198686118046952
"Elizabeth Weitzman",1.44257034482784,-0.770249515825229
"Diana Clarke",1.43372655163822,2.80570038877036
"Guy Lodge",1.41656020829548,-4.71858801421953
"Sheila O'Malley",1.41379967451698,2.73914620383014
"Josh Kupecki",1.41344176287067,-2.25852854345127
"Daphne Howland",1.4113649576595,0.826991370037071
"Liam Lacey",1.39821948682052,-3.39423631767322
"Peter Sobczynski",1.39586916196675,-4.60187347664323
"Ed Gonzalez",1.38990011961807,-8.793059934813
"Catherine Shoard",1.371591119026,-2.27506276595222
"Christopher Grey",1.36741250241126,2.87881066388916
"Glenn Heath Jr.",1.36564637148537,3.86109212458506
"Joe Neumaier",1.35925997633238,-6.59548003161136
"Michael Phillips",1.34619128849823,-2.18850954075362
"Stephanie Zacharek",1.34557723935432,3.07769185560871
"Betsy Sharkey",1.3455762040428,1.04634201069359
"Clayton Dillard",1.34168735070568,-2.79039188410644
"Ernest Hardy",1.34129909072942,0.138444200558021
"Michael Roffman",1.33832186274694,2.78566428080021
"Tom Huddleston",1.33735744509734,-2.53710903347679
"Catherine Bray",1.33022389451575,-0.518149225622911
"Chris Nashawaty",1.32770979243537,-4.4337500119877
"Matthew Dessem",1.32595373663474,1.59875049025269
"Tim Robey",1.32567889210669,-4.76729001355204
"Rebecca Hawkes",1.32475702882212,-1.6777343215498
"Dan Fainaru",1.32471628816212,1.35595838603843
"Christy Lemire",1.32333503443105,-5.34479977311479
"Sara Stewart",1.32324950762413,-5.94404749370963
"Susan Wloszczyna",1.313054757569,-10.3483400698476
"Alex McCown",1.31274325892061,6.0056408448294
"Marjorie Baumgarten",1.3088277528213,-8.33055057039228
"Wes Greene",1.30345089254595,2.14275245072408
"Gabe Toro",1.29996777510698,-2.37110479613462
"David D'Arcy",1.29932263948493,4.64361764692515
"Duane Byrge",1.28547241240284,4.74783498482582
"Rob Staeger",1.28540570875328,-2.94031675540587
"Alonso Duralde",1.28535129722506,-6.63774152225925
"Ed Frankl",1.28377574514423,1.22554905785808
"Mark Olsen",1.28343639992038,-5.01483472507494
"Eric Kohn",1.28328741073564,5.51917900729366
"John Anderson",1.2829023311511,-0.821939132454367
"Stephen Whitty",1.2815600684781,-0.290120938702298
"Michael Nordine",1.27548985976591,-1.41751327846746
"Robbie Collin",1.27441916019717,-2.92243706896141
"Allie Gemmill",1.27379512079552,3.53628037691121
"Daniel M. Gold",1.2705099776782,-3.55422465748207
"Michael O'Sullivan",1.26709855471458,0.827304737251596
"A.A. Dowd",1.26421287580358,-3.63278139369974
"Bill Goodykoontz",1.26396762407159,2.69306105999593
"Gary Goldstein",1.25843756208984,-10.4359420979775
